# debian	architecture	language	engine	md5	date	sort_ms	libc	icu
12	x86_64	en	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8254955.240	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	en	icu	0cfdb434ae9b87241750e06a5d514f66	2026-08-06	19817.279	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	es	glibc	26f199a37d7ad3dc6ec4f0747eac6006	2026-08-06	7630127.316	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	es	icu	69e055921ef99bc0f476d17e1ee0b374	2026-08-06	19471.295	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	fr	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8277662.642	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	fr	icu	0cfdb434ae9b87241750e06a5d514f66	2026-08-06	19244.171	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-06	530037.724	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	ja	icu	222f40ac4e89d3996b4c733bc0be3abb	2026-08-06	18644.971	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	ko	glibc	364a7cbde3cfe7377cd6f6c64a2a2970	2026-08-06	873466.015	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	ko	icu	50b278bb500d3fe3efaff958524dc59b	2026-08-06	20546.440	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	ru	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8264615.296	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	ru	icu	b3bd9fe71a34b63b50c58d640431c8e6	2026-08-06	19357.630	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	zh	glibc	60f4f31bb45097d42d42238592294f77	2026-08-06	9591340.931	2.36-9+deb12u14	72.1-3+deb12u1
12	x86_64	zh	icu	fd01564fab97ad382895828ee66b2d31	2026-08-07	18695.492	2.36-9+deb12u14	72.1-3+deb12u1
13	x86_64	ar	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8167201.511	2.41-12+deb13u3	76.1-4
13	x86_64	ar	icu	130cb693ee6046a67fbd3b367c5f21fa	2026-08-06	18376.405	2.41-12+deb13u3	76.1-4
13	x86_64	de	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8049625.501	2.41-12+deb13u3	76.1-4
13	x86_64	de	icu	86b4b3f5d472d0ad4e2d740adb0e98c3	2026-08-06	17910.700	2.41-12+deb13u3	76.1-4
13	x86_64	en	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8059977.243	2.41-12+deb13u3	76.1-4
13	x86_64	en	icu	86b4b3f5d472d0ad4e2d740adb0e98c3	2026-08-06	18226.137	2.41-12+deb13u3	76.1-4
13	x86_64	es	glibc	26f199a37d7ad3dc6ec4f0747eac6006	2026-08-06	7862760.400	2.41-12+deb13u3	76.1-4
13	x86_64	es	icu	c8cff30c73431f8441fc67396f661c85	2026-08-06	18051.618	2.41-12+deb13u3	76.1-4
13	x86_64	fr	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8067484.153	2.41-12+deb13u3	76.1-4
13	x86_64	fr	icu	86b4b3f5d472d0ad4e2d740adb0e98c3	2026-08-06	17604.004	2.41-12+deb13u3	76.1-4
13	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-06	577264.827	2.41-12+deb13u3	76.1-4
13	x86_64	ja	icu	5a749d4e6f8456c40b061fa08f2b2429	2026-08-06	16327.368	2.41-12+deb13u3	76.1-4
13	x86_64	ko	glibc	364a7cbde3cfe7377cd6f6c64a2a2970	2026-08-06	948687.387	2.41-12+deb13u3	76.1-4
13	x86_64	ko	icu	b95bef1be0f7841c14aeef7a0dd8e783	2026-08-06	18044.198	2.41-12+deb13u3	76.1-4
13	x86_64	ru	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8041586.223	2.41-12+deb13u3	76.1-4
13	x86_64	ru	icu	4cf5360391a925c48b3e4bfca4c4ac4e	2026-08-06	14309.839	2.41-12+deb13u3	76.1-4
13	x86_64	zh	glibc	60f4f31bb45097d42d42238592294f77	2026-08-06	9317943.569	2.41-12+deb13u3	76.1-4
13	x86_64	zh	icu	41cc2e9d968c70162bcbe49ac2389f05	2026-08-07	18233.661	2.41-12+deb13u3	76.1-4
sid	x86_64	ar	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-07	7988612.694	2.42-17	78.3-2
sid	x86_64	ar	icu	b25ff6310e543185687436884b32fec2	2026-08-07	22680.745	2.42-17	78.3-2
sid	x86_64	de	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-07	6204993.325	2.42-17	78.3-2
sid	x86_64	de	icu	91b98015ea31f2287822bbe838b5205f	2026-08-07	22377.196	2.42-17	78.3-2
sid	x86_64	en	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-07	7130539.032	2.42-17	78.3-2
sid	x86_64	en	icu	91b98015ea31f2287822bbe838b5205f	2026-08-07	20654.376	2.42-17	78.3-2
sid	x86_64	es	glibc	26f199a37d7ad3dc6ec4f0747eac6006	2026-08-07	7236907.877	2.42-17	78.3-2
sid	x86_64	es	icu	5b3de46a9b8346d7aae1036103274848	2026-08-07	28237.743	2.42-17	78.3-2
sid	x86_64	fr	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-07	7492734.432	2.42-17	78.3-2
sid	x86_64	fr	icu	91b98015ea31f2287822bbe838b5205f	2026-08-07	21408.985	2.42-17	78.3-2
sid	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-07	589027.158	2.42-17	78.3-2
sid	x86_64	ja	icu	62ed2787e79dee8ac3a21b0cc0661881	2026-08-07	21410.173	2.42-17	78.3-2
sid	x86_64	ko	glibc	364a7cbde3cfe7377cd6f6c64a2a2970	2026-08-07	904765.939	2.42-17	78.3-2
sid	x86_64	ko	icu	82dfc509c3f81b43cef79abbfdd54e5b	2026-08-07	23463.327	2.42-17	78.3-2
sid	x86_64	ru	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-07	6458584.588	2.42-17	78.3-2
sid	x86_64	ru	icu	892d59ab3773fde8e094180283cdb8e6	2026-08-07	21191.177	2.42-17	78.3-2
sid	x86_64	zh	glibc	60f4f31bb45097d42d42238592294f77	2026-08-07	8951434.834	2.42-17	78.3-2
sid	x86_64	zh	icu	d050e4ec94b663c17ca9419c8996d1e8	2026-08-07	20993.585	2.42-17	78.3-2
stable	x86_64	en	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-06	8840260.749	2.41-12+deb13u3	76.1-4
stable	x86_64	en	icu	86b4b3f5d472d0ad4e2d740adb0e98c3	2026-08-05	unknown	2.41-12+deb13u3	76.1-4
