# rhel	architecture	language	engine	md5	date	sort_ms	libc	icu
8	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-11	581802.482	2.28-251.el8_10.40.x86_64	60.3-2.el8_1
8	x86_64	ja	icu	10105752b84d69d13c5b18abe56cf740	2026-08-11	21963.907	2.28-251.el8_10.40.x86_64	60.3-2.el8_1
8	x86_64	ko	glibc	d19baaa641a4d72b5bb20d78e9a59c8b	2026-08-11	1010681.464	2.28-251.el8_10.40.x86_64	60.3-2.el8_1
8	x86_64	ko	icu	77f9e2cf651ee9e74d3be0e58e0a911b	2026-08-11	25624.714	2.28-251.el8_10.40.x86_64	60.3-2.el8_1
8	x86_64	ru	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-11	6369407.229	2.28-251.el8_10.40.x86_64	60.3-2.el8_1
8	x86_64	ru	icu	be4ba99bfe12f34511b043d94596a113	2026-08-11	24202.328	2.28-251.el8_10.40.x86_64	60.3-2.el8_1
8	x86_64	zh	glibc	60f4f31bb45097d42d42238592294f77	2026-08-11	9100832.619	2.28-251.el8_10.40.x86_64	60.3-2.el8_1
8	x86_64	zh	icu	e474481a81cb0c6b90f871b35dc55f3c	2026-08-11	19472.395	2.28-251.el8_10.40.x86_64	60.3-2.el8_1
9	x86_64	C	glibc	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	39427.075	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	root	icu	d09ddc8dc309750f9d1f31fbe7f5617e	2026-08-11	22647.310	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	ar	glibc	dd3885d4d3b4bf1225d4e76acb0e611c	2026-08-11	195568.984	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	ar	icu	0eb9e12612126a4ed637bef6a8ec1d45	2026-08-11	24803.963	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	de	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-11	7895725.779	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	de	icu	d09ddc8dc309750f9d1f31fbe7f5617e	2026-08-11	22693.236	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	en	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-11	8294273.922	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	en	icu	d09ddc8dc309750f9d1f31fbe7f5617e	2026-08-11	22882.841	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	es	glibc	26f199a37d7ad3dc6ec4f0747eac6006	2026-08-11	7838544.043	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	es	icu	2ba60a48450de6300684c7fc48d0625c	2026-08-11	24564.982	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	fr	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-11	7870713.429	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	fr	icu	d09ddc8dc309750f9d1f31fbe7f5617e	2026-08-11	24542.577	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-11	527103.156	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	ja	icu	dad160553d20e500a55a5cc4e6d3ca1a	2026-08-11	21908.408	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	ko	glibc	364a7cbde3cfe7377cd6f6c64a2a2970	2026-08-11	844645.172	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	ko	icu	71d7915ba551b3c32da5247ed5a29e2c	2026-08-11	25417.829	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	ru	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-11	7856435.120	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	ru	icu	fbe9c3b1cb5ceca050255c0231a936b1	2026-08-11	24807.080	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	zh	glibc	60f4f31bb45097d42d42238592294f77	2026-08-11	9500532.685	2.34-275.el9_8.x86_64	67.1-10.el9_6
9	x86_64	zh	icu	05885ce6e2caf35b0da4717dbf7dbd15	2026-08-11	22528.061	2.34-275.el9_8.x86_64	67.1-10.el9_6
10	x86_64	C	glibc	6f81f755c83c00057888f2f64ece6a1b	2026-08-11	40345.866	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	root	icu	9b5fa9ad75eb8c0bff6a667709c90985	2026-08-11	22375.938	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	ar	glibc	dd3885d4d3b4bf1225d4e76acb0e611c	2026-08-11	159784.950	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	ar	icu	fa034633fe81379c7fd6781f054fce6b	2026-08-11	24817.683	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	de	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-11	8285786.343	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	de	icu	9b5fa9ad75eb8c0bff6a667709c90985	2026-08-11	23601.561	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	en	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-11	8271364.665	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	en	icu	9b5fa9ad75eb8c0bff6a667709c90985	2026-08-11	17183.243	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	es	glibc	26f199a37d7ad3dc6ec4f0747eac6006	2026-08-11	7824388.261	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	es	icu	829ef7290f3c33ae58f3f09ce9e9dc97	2026-08-11	23903.809	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	fr	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-11	8158877.528	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	fr	icu	9b5fa9ad75eb8c0bff6a667709c90985	2026-08-11	24055.718	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	ja	glibc	d035d64cf99fe9b8770556479d72fd4b	2026-08-11	659728.089	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	ja	icu	ae73f8ba32586fbec3f1d2379e79d436	2026-08-11	23332.763	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	ko	glibc	364a7cbde3cfe7377cd6f6c64a2a2970	2026-08-11	914632.061	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	ko	icu	360325d0c1bdb17837f90590e4052f47	2026-08-11	25211.176	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	ru	glibc	d8aec1fc72d1b8c511cadf3aa66d78f8	2026-08-11	8281982.059	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	ru	icu	cb09f239da250e6845d78f9330d5f71c	2026-08-11	22510.031	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	zh	glibc	60f4f31bb45097d42d42238592294f77	2026-08-11	10047006.644	2.39-128.el10_2.x86_64	74.2-5.el10_0
10	x86_64	zh	icu	3ef261775eeec6695711a73fdf043533	2026-08-11	22310.286	2.39-128.el10_2.x86_64	74.2-5.el10_0
