CodePoint String PositionChange
00064359 ﭧﭧD >3725428a3725442
00064359 ﭧﭧD <3725452,3725455d3725459
00064359 ﭧﭧDD >3725433a3725451
00064359 ﭧﭧDD <3725457,3725460d3725460
00064360 BﭨB <2074497,2074500d2074496
00064360 BﭨB >2074502a2074500
00064360 DﭨD <3674473,3674476d3674472
00064360 DﭨD >3674478a3674476
00064360 ﭨﭨ >3725414a3725417
00064360 ﭨﭨ <3725437,3725440d3725456
00064360 ﭨﭨB >3725419a3725426
00064360 ﭨﭨB <3725442,3725445d3725457
00064360 ﭨﭨBB >3725424a3725435
00064360 ﭨﭨBB <3725447,3725450d3725458
00064360 ﭨﭨD >3725429a3725444
00064360 ﭨﭨD <3725452,3725455d3725459
00064360 ﭨﭨDD >3725434a3725453
00064360 ﭨﭨDD <3725457,3725460d3725460
00064361 BﭩB <2074497,2074500d2074496
00064361 BﭩB >2074503a2074502
00064361 DﭩD <3674473,3674476d3674472
00064361 DﭩD >3674479a3674478
00064361 ﭩﭩ >3725415a3725419
00064361 ﭩﭩ <3725437,3725440d3725456
00064361 ﭩﭩB >3725420a3725428
00064361 ﭩﭩB <3725442,3725445d3725457
00064361 ﭩﭩBB >3725425a3725437
00064361 ﭩﭩBB <3725447,3725450d3725458
00064361 ﭩﭩD >3725430a3725446
00064361 ﭩﭩD <3725452,3725455d3725459
00064361 ﭩﭩDD >3725435a3725455
00064361 ﭩﭩDD <3725457,3725460d3725460
00064378 ﭺﭺ >3725562a3725563
00064378 ﭺﭺ <3725587,3725590d3725606
00064378 ﭺﭺB >3725567a3725572
00064378 ﭺﭺB <3725592,3725595d3725607
00064378 ﭺﭺBB >3725572a3725581
00064378 ﭺﭺBB <3725597,3725600d3725608
00064378 ﭺﭺD >3725577a3725590
00064378 ﭺﭺD <3725602,3725605d3725609
00064378 ﭺﭺDD >3725582a3725599
00064378 ﭺﭺDD <3725607,3725610d3725610
00064379 BﭻB <2074527,2074530d2074526
00064379 BﭻB >2074531a2074528
00064379 DﭻD <3674503,3674506d3674502
00064379 DﭻD >3674507a3674504
00064379 ﭻﭻ >3725563a3725565
00064379 ﭻﭻ <3725587,3725590d3725606
00064379 ﭻﭻB >3725568a3725574
00064379 ﭻﭻB <3725592,3725595d3725607
00064379 ﭻﭻBB >3725573a3725583
00064379 ﭻﭻBB <3725597,3725600d3725608
00064379 ﭻﭻD >3725578a3725592
00064379 ﭻﭻD <3725602,3725605d3725609
00064379 ﭻﭻDD >3725583a3725601
00064379 ﭻﭻDD <3725607,3725610d3725610
00064380 BﭼB <2074527,2074530d2074526
00064380 BﭼB >2074532a2074530
00064380 DﭼD <3674503,3674506d3674502
00064380 DﭼD >3674508a3674506
00064380 ﭼﭼ >3725564a3725567
00064380 ﭼﭼ <3725587,3725590d3725606
00064380 ﭼﭼB >3725569a3725576
00064380 ﭼﭼB <3725592,3725595d3725607
00064380 ﭼﭼBB >3725574a3725585
00064380 ﭼﭼBB <3725597,3725600d3725608
00064380 ﭼﭼD >3725579a3725594
00064380 ﭼﭼD <3725602,3725605d3725609
00064380 ﭼﭼDD >3725584a3725603
00064380 ﭼﭼDD <3725607,3725610d3725610
00064381 BﭽB <2074527,2074530d2074526
00064381 BﭽB >2074533a2074532
00064381 DﭽD <3674503,3674506d3674502
00064381 DﭽD >3674509a3674508
00064381 ﭽﭽ >3725565a3725569
00064381 ﭽﭽ <3725587,3725590d3725606
00064381 ﭽﭽB >3725570a3725578
00064381 ﭽﭽB <3725592,3725595d3725607
00064381 ﭽﭽBB >3725575a3725587
00064381 ﭽﭽBB <3725597,3725600d3725608
00064381 ﭽﭽD >3725580a3725596
00064381 ﭽﭽD <3725602,3725605d3725609
00064381 ﭽﭽDD >3725585a3725605
00064381 ﭽﭽDD <3725607,3725610d3725610
00064392 ﮈﮈ >3725742a3725743
00064392 ﮈﮈ <3725757,3725758d3725766
00064392 ﮈﮈB >3725745a3725748
00064392 ﮈﮈB <3725760,3725761d3725767
00064392 ﮈﮈBB >3725748a3725753
00064392 ﮈﮈBB <3725763,3725764d3725768
00064392 ﮈﮈD >3725751a3725758
00064392 ﮈﮈD <3725766,3725767d3725769
00064392 ﮈﮈDD >3725754a3725763
00064392 ﮈﮈDD <3725769,3725770d3725770
00064393 BﮉB <2074563,2074564d2074562
00064393 BﮉB >2074565a2074564
00064393 DﮉD <3674539,3674540d3674538
00064393 DﮉD >3674541a3674540
00064393 ﮉﮉ >3725743a3725745
00064393 ﮉﮉ <3725757,3725758d3725766
00064393 ﮉﮉB >3725746a3725750
00064393 ﮉﮉB <3725760,3725761d3725767
00064393 ﮉﮉBB >3725749a3725755
00064393 ﮉﮉBB <3725763,3725764d3725768
00064393 ﮉﮉD >3725752a3725760
00064393 ﮉﮉD <3725766,3725767d3725769
00064393 ﮉﮉDD >3725755a3725765
00064393 ﮉﮉDD <3725769,3725770d3725770
00064394 ﮊﮊ >3725892a3725893
00064394 ﮊﮊ <3725907,3725908d3725916
00064394 ﮊﮊB >3725895a3725898
00064394 ﮊﮊB <3725910,3725911d3725917
00064394 ﮊﮊBB >3725898a3725903
00064394 ﮊﮊBB <3725913,3725914d3725918
00064394 ﮊﮊD >3725901a3725908
00064394 ﮊﮊD <3725916,3725917d3725919
00064394 ﮊﮊDD >3725904a3725913
00064394 ﮊﮊDD <3725919,3725920d3725920
00064395 BﮋB <2074593,2074594d2074592
00064395 BﮋB >2074595a2074594
00064395 DﮋD <3674569,3674570d3674568
00064395 DﮋD >3674571a3674570
00064395 ﮋﮋ >3725893a3725895
00064395 ﮋﮋ <3725907,3725908d3725916
00064395 ﮋﮋB >3725896a3725900
00064395 ﮋﮋB <3725910,3725911d3725917
00064395 ﮋﮋBB >3725899a3725905
00064395 ﮋﮋBB <3725913,3725914d3725918
00064395 ﮋﮋD >3725902a3725910
00064395 ﮋﮋD <3725916,3725917d3725919
00064395 ﮋﮋDD >3725905a3725915
00064395 ﮋﮋDD <3725919,3725920d3725920
00064396 ﮌﮌ >3725832a3725833
00064396 ﮌﮌ <3725847,3725848d3725856
00064396 ﮌﮌB >3725835a3725838
00064396 ﮌﮌB <3725850,3725851d3725857
00064396 ﮌﮌBB >3725838a3725843
00064396 ﮌﮌBB <3725853,3725854d3725858
00064396 ﮌﮌD >3725841a3725848
00064396 ﮌﮌD <3725856,3725857d3725859
00064396 ﮌﮌDD >3725844a3725853
00064396 ﮌﮌDD <3725859,3725860d3725860
00064397 BﮍB <2074581,2074582d2074580
00064397 BﮍB >2074583a2074582
00064397 DﮍD <3674557,3674558d3674556
00064397 DﮍD >3674559a3674558
00064397 ﮍﮍ >3725833a3725835
00064397 ﮍﮍ <3725847,3725848d3725856
00064397 ﮍﮍB >3725836a3725840
00064397 ﮍﮍB <3725850,3725851d3725857
00064397 ﮍﮍBB >3725839a3725845
00064397 ﮍﮍBB <3725853,3725854d3725858
00064397 ﮍﮍD >3725842a3725850
00064397 ﮍﮍD <3725856,3725857d3725859
00064397 ﮍﮍDD >3725845a3725855
00064397 ﮍﮍDD <3725859,3725860d3725860
00064398 ﮎﮎ >3726472a3726473
00064398 ﮎﮎ <3726497,3726500d3726516
00064398 ﮎﮎB >3726477a3726482
00064398 ﮎﮎB <3726502,3726505d3726517
00064398 ﮎﮎBB >3726482a3726491
00064398 ﮎﮎBB <3726507,3726510d3726518
00064398 ﮎﮎD >3726487a3726500
00064398 ﮎﮎD <3726512,3726515d3726519
00064398 ﮎﮎDD >3726492a3726509
00064398 ﮎﮎDD <3726517,3726520d3726520
00064399 BﮏB <2074709,2074712d2074708
00064399 BﮏB >2074713a2074710
00064399 DﮏD <3674685,3674688d3674684
00064399 DﮏD >3674689a3674686
00064399 ﮏﮏ >3726473a3726475
00064399 ﮏﮏ <3726497,3726500d3726516
00064399 ﮏﮏB >3726478a3726484
00064399 ﮏﮏB <3726502,3726505d3726517
00064399 ﮏﮏBB >3726483a3726493
00064399 ﮏﮏBB <3726507,3726510d3726518
00064399 ﮏﮏD >3726488a3726502
00064399 ﮏﮏD <3726512,3726515d3726519
00064399 ﮏﮏDD >3726493a3726511
00064399 ﮏﮏDD <3726517,3726520d3726520
00064400 BﮐB <2074709,2074712d2074708
00064400 BﮐB >2074714a2074712
00064400 DﮐD <3674685,3674688d3674684
00064400 DﮐD >3674690a3674688
00064400 ﮐﮐ >3726474a3726477
00064400 ﮐﮐ <3726497,3726500d3726516
00064400 ﮐﮐB >3726479a3726486
00064400 ﮐﮐB <3726502,3726505d3726517
00064400 ﮐﮐBB >3726484a3726495
00064400 ﮐﮐBB <3726507,3726510d3726518
00064400 ﮐﮐD >3726489a3726504
00064400 ﮐﮐD <3726512,3726515d3726519
00064400 ﮐﮐDD >3726494a3726513
00064400 ﮐﮐDD <3726517,3726520d3726520
00064401 BﮑB <2074709,2074712d2074708
00064401 BﮑB >2074715a2074714
00064401 DﮑD <3674685,3674688d3674684
00064401 DﮑD >3674691a3674690
00064401 ﮑﮑ >3726475a3726479
00064401 ﮑﮑ <3726497,3726500d3726516
00064401 ﮑﮑB >3726480a3726488
00064401 ﮑﮑB <3726502,3726505d3726517
