
# CodePoint UnicodeBlock PatternID String PositionChange
000d37 0D00 S-314  ഷ  -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-315 様ഷ様 -23166189,26+23166201,34
000d37 0D00 S-316 クഷク -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-320 BBഷ -18116577,31+18116238,41
000d37 0D00 S-321 OOഷ -21188744,22+21188384,28
000d37 0D00 S-322 33ഷ -13207596,22+13207296,28
000d37 0D00 S-323 ..ഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-324   ഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-325 様様ഷ -24753099,22+24753093,28
000d37 0D00 S-326 ククഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-330 ഷഷB -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-331 ഷഷO -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-332 ഷഷ3 -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-333 ഷഷ. -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-334 ഷഷ  -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-335 ഷഷ様 -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-336 ഷഷク -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-340 ഷBഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-341 ഷOഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-342 ഷ3ഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-343 ഷ.ഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-344 ഷ ഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-345 ഷ様ഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-346 ഷクഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-350 Bഷഷ -18230359,26+18230047,34
000d37 0D00 S-351 Oഷഷ -21237622,26+21237280,34
000d37 0D00 S-352 3ഷഷ -14387116,26+14386834,34
000d37 0D00 S-353 .ഷഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-354  ഷഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-355 様ഷഷ -23166189,26+23166201,34
000d37 0D00 S-356 クഷഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-380 3Bഷ -14294564,14+14294266,14
000d37 0D00 S-399 ഷഷഷ -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-400 ഷഷBB -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-401 ഷഷOO -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-402 ഷഷ33 -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-403 ഷഷ.. -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-404 ഷഷ   -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-405 ഷഷ様様 -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-406 ഷഷクク -21417223,66+21417193,6:-21417343,6+21417253,66
000d37 0D00 S-410 BഷഷB -18230359,26+18230047,34
