
# Filtering out patterns with more than 20,000 distinct codepoints to preserve version control sanity.
#   Exceptions:
#   - full data for Basic Latin and Latin-1 Supplement blocks, aka ASCII & ISO-8859-1
#   - full data for pattern S-199, aka single-character strings
# 
# Filtered Pattern ID (total count of distinct codepoints in diff output), Pattern ID (codepoints), etc:
#   S-326 (22282x), S-585 (22435x), S-423 (22461x), S-426 (22432x), S-323 (22311x), S-324 (22311x), S-424 (22461x), S-583 (22283x), S-481 (22279x), S-420 (22406x) 

# CodePoint UnicodeBlock PatternID String PositionChange
0000ac 0080 S-415 様¬¬様 -23713557,258028+23713557,38764
0000ad 0080 S-335 ­­様 -21863564,258201+21863564,38935
0000ad 0080 S-405 ­­様様 -23195960,258033+23195960,38768
0000ad 0080 S-415 様­­様 -23713557,258028+23713557,38764
0000ae 0080 S-335 ®®様 -21863564,258201+21863564,38935
0000ae 0080 S-405 ®®様様 -23195960,258033+23195960,38768
0000ae 0080 S-415 様®®様 -23713557,258028+23713557,38764
0000af 0080 S-335 ¯¯様 -21863564,258201+21863564,38935
0000af 0080 S-405 ¯¯様様 -23195960,258033+23195960,38768
0000af 0080 S-415 様¯¯様 -23713557,258028+23713557,38764
0000b0 0080 S-335 °°様 -21863564,258201+21863564,38935
0000b0 0080 S-405 °°様様 -23195960,258033+23195960,38768
0000b0 0080 S-415 様°°様 -23713557,258028+23713557,38764
0000b1 0080 S-335 ±±様 -21863564,258201+21863564,38935
0000b1 0080 S-405 ±±様様 -23195960,258033+23195960,38768
0000b1 0080 S-415 様±±様 -23713557,258028+23713557,38764
0000b2 0080 S-210 B² -15775493,8+15775493,8
0000b2 0080 S-211 O² -19626371,8+19626371,8
0000b2 0080 S-212 3² -11391041,8+11391041,8
0000b2 0080 S-312 3²3 -11391089,8+11391089,8
0000b2 0080 S-342 ²3² -10096421,8+10096421,8
0000b2 0080 S-350 B²² -15775509,8+15775509,8
0000b2 0080 S-351 O²² -19626387,8+19626387,8
0000b2 0080 S-352 3²² -11391057,8+11391057,8
0000b2 0080 S-412 3²²3 -11391073,8+11391073,8
0000b3 0080 S-210 B³ -15775559,18+15775559,18
0000b3 0080 S-211 O³ -19626437,18+19626437,18
0000b3 0080 S-350 B³³ -15775585,8+15775585,8
0000b3 0080 S-351 O³³ -19626532,8+19626532,8
0000b4 0080 S-335 ´´様 -21863564,258201+21863564,38935
0000b4 0080 S-405 ´´様様 -23195960,258033+23195960,38768
0000b4 0080 S-415 様´´様 -23713557,258028+23713557,38764
0000b5 0080 S-335 µµ様 -21863564,258201+21863564,38935
0000b5 0080 S-405 µµ様様 -23195960,258033+23195960,38768
0000b5 0080 S-415 様µµ様 -23713557,258028+23713557,38764
0000b6 0080 S-335 ¶¶様 -21863564,258201+21863564,38935
0000b6 0080 S-405 ¶¶様様 -23195960,258033+23195960,38768
0000b6 0080 S-415 様¶¶様 -23713557,258028+23713557,38764
0000b7 0080 S-335 ··様 -21863564,258201+21863564,38935
0000b7 0080 S-405 ··様様 -23195960,258033+23195960,38768
0000b7 0080 S-415 様··様 -23713557,258028+23713557,38764
0000b8 0080 S-335 ¸¸様 -21863564,258201+21863564,38935
0000b8 0080 S-405 ¸¸様様 -23195960,258033+23195960,38768
0000b8 0080 S-415 様¸¸様 -23713557,258028+23713557,38764
0000b9 0080 S-210 B¹ -15775429,8+15775429,8
0000b9 0080 S-211 O¹ -19626307,8+19626307,8
0000b9 0080 S-212 3¹ -11390977,8+11390977,8
0000b9 0080 S-312 3¹3 -11391025,8+11391025,8
0000b9 0080 S-342 ¹3¹ -10095461,8+10095461,8
0000b9 0080 S-350 B¹¹ -15775445,8+15775445,8
0000b9 0080 S-351 O¹¹ -19626323,8+19626323,8
0000b9 0080 S-352 3¹¹ -11390993,8+11390993,8
0000b9 0080 S-412 3¹¹3 -11391009,8+11391009,8
0000bb 0080 S-335 »»様 -21863564,258201+21863564,38935
0000bb 0080 S-405 »»様様 -23195960,258033+23195960,38768
0000bb 0080 S-415 様»»様 -23713557,258028+23713557,38764
0000bf 0080 S-335 ¿¿様 -21863564,258201+21863564,38935
0000bf 0080 S-405 ¿¿様様 -23195960,258033+23195960,38768
0000bf 0080 S-415 様¿¿様 -23713557,258028+23713557,38764
0000c2 0080 S-205 Â様 -14480968,46+14480968,46
0000c2 0080 S-305 Â様様 -14481092,46+14481092,46
0000c2 0080 S-315 様Â様 -23158417,64+23158417,64
0000c2 0080 S-335 ÂÂ様 -14480112,46+14480112,46
0000c2 0080 S-345 Â様Â -14481030,46+14481030,46
0000c2 0080 S-405 ÂÂ様様 -14480174,46+14480174,46
0000c2 0080 S-415 様ÂÂ様 -23158349,46+23158349,46
0000c6 0080 S-205 Æ様 -14480758,24+14480758,24
0000c6 0080 S-305 Æ様様 -14480758,24+14480758,24
0000c6 0080 S-315 様Æ様 -23158417,64+23158417,64
0000c6 0080 S-335 ÆÆ様 -14480710,18+14480710,18
0000c6 0080 S-345 Æ様Æ -14480758,24+14480758,24
0000c6 0080 S-405 ÆÆ様様 -14480710,18+14480710,18
0000c6 0080 S-415 様ÆÆ様 -23158417,64+23158417,64
0000ca 0080 S-205 Ê様 -18321147,18+18321147,18
0000ca 0080 S-305 Ê様様 -18321263,18+18321263,18
0000ca 0080 S-315 様Ê様 -23158888,18+23158888,18
0000ca 0080 S-335 ÊÊ様 -18320857,18+18320857,18
0000ca 0080 S-345 Ê様Ê -18321205,18+18321205,18
0000ca 0080 S-405 ÊÊ様様 -18320915,18+18320915,18
0000ca 0080 S-415 様ÊÊ様 -23158830,18+23158830,18
0000d4 0080 S-205 Ô様 -21267399,54+21267399,54
0000d4 0080 S-305 Ô様様 -21267559,54+21267559,54
0000d4 0080 S-315 様Ô様 -23159830,54+23159830,54
0000d4 0080 S-335 ÔÔ様 -21203637,54+21203637,54
0000d4 0080 S-345 Ô様Ô -21267479,54+21267479,54
0000d4 0080 S-405 ÔÔ様様 -21203717,54+21203717,54
0000d4 0080 S-415 様ÔÔ様 -23159750,54+23159750,54
0000d5 0080 S-205 Õ様 -21267399,54+21267399,54
0000d5 0080 S-305 Õ様様 -21267559,54+21267559,54
0000d5 0080 S-315 様Õ様 -23159830,54+23159830,54
0000d5 0080 S-335 ÕÕ様 -21203637,54+21203637,54
0000d5 0080 S-345 Õ様Õ -21267479,54+21267479,54
0000d5 0080 S-405 ÕÕ様様 -21203717,54+21203717,54
0000d5 0080 S-415 様ÕÕ様 -23159750,54+23159750,54
0000d7 0080 S-335 ××様 -21863564,258201+21863564,38935
0000d7 0080 S-405 ××様様 -23195960,258033+23195960,38768
0000d7 0080 S-415 様××様 -23713557,258028+23713557,38764
0000dc 0080 S-205 Ü様 -21330537,28+21330537,28
0000dc 0080 S-305 Ü様様 -21330657,28+21330657,28
0000dc 0080 S-315 様Ü様 -23160387,28+23160387,28
0000dc 0080 S-335 ÜÜ様 -21330417,28+21330417,28
0000dc 0080 S-345 Ü様Ü -21330597,28+21330597,28
0000dc 0080 S-405 ÜÜ様様 -21330477,28+21330477,28
0000dc 0080 S-415 様ÜÜ様 -23160327,28+23160327,28
0000e2 0080 S-205 â様 -14480968,46+14480968,46
0000e2 0080 S-305 â様様 -14481092,46+14481092,46
0000e2 0080 S-315 様â様 -23158417,64+23158417,64
0000e2 0080 S-335 ââ様 -14480112,46+14480112,46
0000e2 0080 S-345 â様â -14481030,46+14481030,46
0000e2 0080 S-405 ââ様様 -14480174,46+14480174,46
0000e2 0080 S-415 様ââ様 -23158349,46+23158349,46
0000e6 0080 S-205 æ様 -14480758,24+14480758,24
0000e6 0080 S-305 æ様様 -14480758,24+14480758,24
0000e6 0080 S-315 様æ様 -23158417,64+23158417,64
0000e6 0080 S-335 ææ様 -14480710,18+14480710,18
0000e6 0080 S-345 æ様æ -14480758,24+14480758,24
0000e6 0080 S-405 ææ様様 -14480710,18+14480710,18
0000e6 0080 S-415 様ææ様 -23158417,64+23158417,64
0000ea 0080 S-205 ê様 -18321147,18+18321147,18
0000ea 0080 S-305 ê様様 -18321263,18+18321263,18
0000ea 0080 S-315 様ê様 -23158888,18+23158888,18
0000ea 0080 S-335 êê様 -18320857,18+18320857,18
0000ea 0080 S-345 ê様ê -18321205,18+18321205,18
0000ea 0080 S-405 êê様様 -18320915,18+18320915,18
0000ea 0080 S-415 様êê様 -23158830,18+23158830,18
0000f4 0080 S-205 ô様 -21267399,54+21267399,54
