CodePoint String PositionChange
00000f2b ༫B >1082590a1082429,1082430
00000f2b ༫༫B <1087551,1087590d1087534
00000f2b ༫B <1087551,1087590d1087534
00000f2b ༫༫BB >1082548a1082381,1082382
00000f2b ༫BB >1082604a1082445,1082446
00000f2b B༫༫B >1602086a1601867,1601868
00000f2b B༫B >1602100a1601883,1601884
00000f2b ༫༫BB <1609165,1609244d1608972
00000f2b ༫BB <1609165,1609244d1608972
00000f2b B༫༫B <1609165,1609244d1608972
00000f2b B༫B <1609165,1609244d1608972
00000f2b ༫༫D >1082562a1082397,1082398
00000f2b ༫D >1082618a1082461,1082462
00000f2b ༫༫D <2687792,2687831d2687347
00000f2b ༫D <2687792,2687831d2687347
00000f2b ༫༫DD >1082576a1082413,1082414
00000f2b ༫DD >1082632a1082477,1082478
00000f2b D༫༫D >3202331a3201684,3201685
00000f2b D༫D >3202345a3201700,3201701
00000f2b ༫༫DD <3209518,3209597d3208897
00000f2b ༫DD <3209518,3209597d3208897
00000f2b D༫༫D <3209518,3209597d3208897
00000f2b D༫D <3209518,3209597d3208897
00000f2c ༬ >1082646a1082493,1082494
00000f2c ༬༬ >1082660a1082509,1082510
00000f2c 1B-༬B >518244a518077,518080
00000f2c 1B༬B >518244a518077,518080
00000f2c 1B-༬B <521913,521952c521771,521772
00000f2c 1B༬B <521913,521952c521771,521772
00000f2c ༬ <3415,3454d3416
00000f2c ༬༬ <3415,3454d3416
00000f2c ༬༬B >1082674a1082525,1082526
00000f2c ༬B >1082730a1082589,1082590
00000f2c ༬༬B <1087551,1087590d1087534
00000f2c ༬B <1087551,1087590d1087534
00000f2c ༬༬BB >1082688a1082541,1082542
00000f2c ༬BB >1082744a1082605,1082606
00000f2c B༬༬B >1602114a1601899,1601900
00000f2c B༬B >1602128a1601915,1601916
00000f2c ༬༬BB <1609165,1609244d1608972
00000f2c ༬BB <1609165,1609244d1608972
00000f2c B༬༬B <1609165,1609244d1608972
00000f2c B༬B <1609165,1609244d1608972
00000f2c ༬༬D >1082702a1082557,1082558
00000f2c ༬D >1082758a1082621,1082622
00000f2c ༬༬D <2687792,2687831d2687347
00000f2c ༬D <2687792,2687831d2687347
00000f2c ༬༬DD >1082716a1082573,1082574
00000f2c ༬DD >1082772a1082637,1082638
00000f2c D༬༬D >3202359a3201716,3201717
00000f2c D༬D >3202373a3201732,3201733
00000f2c ༬༬DD <3209518,3209597d3208897
00000f2c ༬DD <3209518,3209597d3208897
00000f2c D༬༬D <3209518,3209597d3208897
00000f2c D༬D <3209518,3209597d3208897
00000f2d ༭ >1082783a1082650,1082651
00000f2d ༭༭ >1082795a1082664,1082665
00000f2d 1B-༭B >518266a518103,518106
00000f2d 1B༭B >518266a518103,518106
00000f2d 1B-༭B <521913,521952c521771,521772
00000f2d 1B༭B <521913,521952c521771,521772
00000f2d ༭ <3415,3454d3416
00000f2d ༭༭ <3415,3454d3416
00000f2d ༭༭B >1082807a1082678,1082679
00000f2d ༭B >1082855a1082734,1082735
00000f2d ༭༭B <1087551,1087590d1087534
00000f2d ༭B <1087551,1087590d1087534
00000f2d ༭༭BB >1082819a1082692,1082693
00000f2d ༭BB >1082867a1082748,1082749
00000f2d B༭༭B >1602139a1601928,1601929
00000f2d B༭B >1602151a1601942,1601943
00000f2d ༭༭BB <1609165,1609244d1608972
00000f2d ༭BB <1609165,1609244d1608972
00000f2d B༭༭B <1609165,1609244d1608972
00000f2d B༭B <1609165,1609244d1608972
00000f2d ༭༭D >1082831a1082706,1082707
00000f2d ༭D >1082879a1082762,1082763
00000f2d ༭༭D <2687792,2687831d2687347
00000f2d ༭D <2687792,2687831d2687347
00000f2d ༭༭DD >1082843a1082720,1082721
00000f2d ༭DD >1082891a1082776,1082777
00000f2d D༭༭D >3202384a3201745,3201746
00000f2d D༭D >3202396a3201759,3201760
00000f2d ༭༭DD <3209518,3209597d3208897
00000f2d ༭DD <3209518,3209597d3208897
00000f2d D༭༭D <3209518,3209597d3208897
00000f2d D༭D <3209518,3209597d3208897
00000f2e ༮ >1082903a1082790,1082791
00000f2e ༮༮ >1082915a1082804,1082805
00000f2e 1B-༮B >518290a518131,518134
00000f2e 1B༮B >518290a518131,518134
00000f2e 1B-༮B <521913,521952c521771,521772
00000f2e 1B༮B <521913,521952c521771,521772
00000f2e ༮ <3415,3454d3416
00000f2e ༮༮ <3415,3454d3416
00000f2e ༮༮B >1082927a1082818,1082819
00000f2e ༮B >1082975a1082874,1082875
00000f2e ༮༮B <1087551,1087590d1087534
00000f2e ༮B <1087551,1087590d1087534
00000f2e ༮༮BB >1082939a1082832,1082833
00000f2e ༮BB >1082987a1082888,1082889
00000f2e B༮༮B >1602163a1601956,1601957
00000f2e B༮B >1602175a1601970,1601971
00000f2e ༮༮BB <1609165,1609244d1608972
00000f2e ༮BB <1609165,1609244d1608972
00000f2e B༮༮B <1609165,1609244d1608972
00000f2e B༮B <1609165,1609244d1608972
00000f2e ༮༮D >1082951a1082846,1082847
00000f2e ༮D >1082999a1082902,1082903
00000f2e ༮༮D <2687792,2687831d2687347
00000f2e ༮D <2687792,2687831d2687347
00000f2e ༮༮DD >1082963a1082860,1082861
00000f2e ༮DD >1083011a1082916,1082917
00000f2e D༮༮D >3202408a3201773,3201774
00000f2e D༮D >3202420a3201787,3201788
00000f2e ༮༮DD <3209518,3209597d3208897
00000f2e ༮DD <3209518,3209597d3208897
00000f2e D༮༮D <3209518,3209597d3208897
00000f2e D༮D <3209518,3209597d3208897
00000f2f ༯ >1083023a1082930,1082931
00000f2f ༯༯ >1083035a1082944,1082945
00000f2f 1B-༯B >518314a518159,518162
00000f2f 1B༯B >518314a518159,518162
00000f2f 1B-༯B <521913,521952c521771,521772
00000f2f 1B༯B <521913,521952c521771,521772
00000f2f ༯ <3415,3454d3416
00000f2f ༯༯ <3415,3454d3416
00000f2f ༯༯B >1083047a1082958,1082959
00000f2f ༯B >1083095a1083014,1083015
00000f2f ༯༯B <1087551,1087590d1087534
00000f2f ༯B <1087551,1087590d1087534
00000f2f ༯༯BB >1083059a1082972,1082973
00000f2f ༯BB >1083107a1083028,1083029
00000f2f B༯༯B >1602187a1601984,1601985
00000f2f B༯B >1602199a1601998,1601999
00000f2f ༯༯BB <1609165,1609244d1608972
00000f2f ༯BB <1609165,1609244d1608972
00000f2f B༯༯B <1609165,1609244d1608972
00000f2f B༯B <1609165,1609244d1608972
00000f2f ༯༯D >1083071a1082986,1082987
00000f2f ༯D >1083119a1083042,1083043
00000f2f ༯༯D <2687792,2687831d2687347
00000f2f ༯D <2687792,2687831d2687347
00000f2f ༯༯DD >1083083a1083000,1083001
00000f2f ༯DD >1083131a1083056,1083057
00000f2f D༯༯D >3202432a3201801,3201802
00000f2f D༯D >3202444a3201815,3201816
00000f2f ༯༯DD <3209518,3209597d3208897
00000f2f ༯DD <3209518,3209597d3208897
00000f2f D༯༯D <3209518,3209597d3208897
00000f2f D༯D <3209518,3209597d3208897
00000f30 ༰ >1083143a1083070,1083071
00000f30 ༰༰ >1083155a1083084,1083085
00000f30 1B-༰B >518338a518187,518190
00000f30 1B༰B >518338a518187,518190
00000f30 1B-༰B <521913,521952c521771,521772
00000f30 1B༰B <521913,521952c521771,521772
00000f30 ༰ <3415,3454d3416
00000f30 ༰༰ <3415,3454d3416
00000f30 ༰༰B >1083167a1083098,1083099
00000f30 ༰B >1083215a1083154,1083155
00000f30 ༰༰B <1087551,1087590d1087534
00000f30 ༰B <1087551,1087590d1087534
00000f30 ༰༰BB >1083179a1083112,1083113
00000f30 ༰BB >1083227a1083168,1083169
00000f30 B༰༰B >1602211a1602012,1602013
